city,country,income_id,pop,msw_generation_tons_year,waste_treatment_advanced_thermal_treatment_percent,waste_treatment_anaerobic_digestion_percent,waste_treatment_compost_percent,waste_treatment_controlled_landfill_percent,waste_treatment_incineration_percent,waste_treatment_landfill_unspecified_percent,waste_treatment_open_dump_percent,waste_treatment_other_percent,waste_treatment_recycling_percent,waste_treatment_sanitary_landfill_landfill_gas_system_percent,waste_treatment_unaccounted_for_percent,waste_treatment_waterways_marine_percent,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,transportation_distance_km,transportation_distance_km_year,transportation_distance_na,transportation_distance_total_km_day
Phnom Penh,Cambodia,LMC,1731000,711750,NA,NA,0.15,NA,NA,NA,NA,NA,NA,NA,99.85,NA,70,2,2,9,5,6,NA,6,NA,7.5,NA,NA,NA,NA
South Tarawa,Kiribati,LMC,46000,8395,NA,NA,NA,NA,NA,26,NA,38,1,NA,NA,35,74,2.6,8.4,0.5,7,6.6,1,NA,NA,NA,NA,NA,NA,NA
Seoul,"Korea, Rep.",HIC,10204000,3353985,NA,NA,29,NA,8,NA,NA,NA,36,27,NA,NA,9.4,NA,9.9,30.4,41.7,5.9,2.7,NA,NA,64,NA,NA,NA,NA
Kuwait City,Kuwait,HIC,2779000,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vientiane,Lao PDR,LMC,997000,232505,NA,NA,NA,50,NA,NA,NA,NA,10,NA,40,NA,34,7,1,6,7,12,3,NA,30,32,NA,1971450,NA,NA
Beirut,Lebanon,UMC,650000,240000,NA,NA,10,NA,NA,NA,NA,2,5,83,NA,NA,52,4,6,2,15,13,2,3,3,9,NA,2200,NA,NA
Saida,Lebanon,UMC,150000,36500,NA,50,10,NA,NA,NA,NA,7,20,NA,NA,13,50,5,5,NA,12,17,2,4,5,3,NA,1000,NA,NA
Monrovia,Liberia,LIC,1056000,284700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,1,1,42,5,11,NA,NA,NA,4,NA,NA,NA,NA
Tripoli,Libya,UMC,1126000,263033.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.3,3.5,6.7,19.5,15.3,18.6,NA,NA,NA,NA,NA,NA,NA,NA
Dehiwala Mt. Lavinia Municipal Council,Sri Lanka,LMC,187684,63948,NA,NA,0.5,NA,NA,NA,92.2,NA,3.4,NA,3.9,NA,52.5,1.2,0.7,6.7,13.6,10.5,0.6,NA,14.1,NA,NA,NA,NA,NA
Kurunegala,Sri Lanka,LMC,25317,17545.55,NA,NA,2.7,NA,NA,NA,80.4,2.7,14.2,NA,NA,NA,52,0.3,2,7.6,15.7,6.2,0.3,NA,16,NA,NA,NA,NA,NA
Trincomalee,Sri Lanka,LMC,50268,22662.85,NA,NA,5.6,NA,NA,NA,61.5,28.7,4.1,NA,0.1,NA,12,2,1,40,4,3,1,NA,37,9,NA,NA,NA,NA
Jaffna,Sri Lanka,LMC,82493,38278,NA,NA,5.9,NA,NA,NA,70.3,13.6,10.4,NA,0,NA,68.9,0.4,0.3,8.4,2.7,4,0.2,NA,15.1,NA,NA,NA,NA,NA
Moratuwa,Sri Lanka,LMC,171214,45442.5,NA,NA,14.2,48.6,NA,NA,NA,12.9,3.1,NA,21.2,NA,52.5,1.2,0.7,6.7,13.6,10.5,0.6,NA,14.1,NA,NA,NA,NA,NA
